shipment_id,order_id,carrier,tracking_number,ship_date,delivery_date,status,shipping_address,city,state,zip
SHP-000033,ORD-000036,USPS,792442155344,2022-11-21,2022-11-27,out_for_delivery,4454 Cedar St,San Diego,CA,98276
SHP-000034,ORD-000038,UPS,792234052271,2025-02-06,2025-02-14,delivered,7364 Cedar Ln,Phoenix,IL,57347
SHP-000035,ORD-000039,FedEx,9400626956889,2023-02-07,2023-02-17,in_transit,1947 Maple Ave,Philadelphia,AL,99949
SHP-000036,ORD-000040,UPS,1Z100250921,2022-06-30,2022-07-02,in_transit,4151 Maple Ave,Fort Worth,AZ,87002
SHP-000037,ORD-000041,UPS,9400227003153,2024-01-11,2024-01-24,out_for_delivery,2018 Maple Dr,San Antonio,CT,86788
SHP-000038,ORD-000042,UPS,792157455505,2023-09-28,,out_for_delivery,6147 Oak Ln,Charlotte,MT,73940
SHP-000039,ORD-000043,UPS,792316536801,2024-05-22,2024-06-02,delivered,7801 Pine Dr,New York,AR,39902
SHP-000040,ORD-000044,Amazon Logistics,1Z184895871,2024-12-13,2024-12-20,delivered,9849 Main Dr,Los Angeles,FL,59674
SHP-000041,ORD-000045,Amazon Logistics,9400540781442,2025-02-16,2025-03-01,delivered,4163 Pine St,New York,HI,24995
SHP-000042,ORD-000046,UPS,1Z592193439,2022-03-31,2022-04-02,out_for_delivery,2879 Elm Blvd,Chicago,GA,60680
SHP-000043,ORD-000047,USPS,LD200578241,2022-11-17,2022-12-01,returned,4003 Oak Ln,Washington,IL,24883
SHP-000044,ORD-000048,USPS,9400457561959,2023-05-19,2023-05-23,out_for_delivery,8251 Maple St,Denver,NJ,18155
SHP-000045,ORD-000049,UPS,9400316521101,2023-06-15,2023-06-27,delivered,9039 Elm Dr,New York,AK,65484
SHP-000046,ORD-000050,UPS,,2022-10-28,2022-11-11,out_for_delivery,6443 Oak Ln,Columbus,FL,87023
SHP-000047,ORD-000051,UPS,9400383380536,2024-01-05,,out_for_delivery,9119 Main Ln,Jacksonville,MO,99794
SHP-000048,ORD-000052,USPS,1Z832807999,2022-12-13,2022-12-27,out_for_delivery,4485 Elm Ave,New York,IL,84589
SHP-000049,ORD-000053,FedEx,9400746310566,2022-01-29,,delivered,108 Elm Dr,Indianapolis,MI,53547
SHP-000050,ORD-000054,DHL,LD836755194,2022-11-14,2022-11-19,returned,9422 Main Blvd,Dallas,CO,29938
SHP-000051,ORD-000055,DHL,792649986552,2022-08-28,2022-09-07,out_for_delivery,459 Oak Ave,Chicago,IA,24235
SHP-000052,ORD-000056,USPS,792903206514,2024-12-12,2024-12-24,delivered,7139 Elm Blvd,Dallas,IL,52904
SHP-000053,ORD-000057,Amazon Logistics,1Z526269637,2022-10-21,,in_transit,3477 Maple St,New York,CO,58704
SHP-000054,ORD-000058,DHL,792311078384,2022-08-18,2022-08-20,in_transit,1430 Oak Blvd,Washington,MT,27152
SHP-000055,ORD-000059,Amazon Logistics,792429173493,2024-11-18,2024-11-30,delivered,305 Elm St,Seattle,AZ,15806
SHP-000056,ORD-000060,FedEx,9400677277942,2022-07-21,2022-08-04,returned,305 Cedar Ln,San Antonio,KS,81824
SHP-000057,ORD-000061,USPS,1Z122710798,2023-07-25,2023-07-28,in_transit,3771 Cedar St,San Diego,DE,83184
SHP-000058,ORD-000062,USPS,9400624514223,2025-04-01,2025-04-09,delivered,3897 Oak Ave,Austin,MI,37780
SHP-000059,ORD-000064,Amazon Logistics,1Z137113710,2023-12-29,,out_for_delivery,1952 Elm Blvd,San Francisco,NJ,30551
SHP-000060,ORD-000065,Amazon Logistics,1Z514081315,2023-10-08,2023-10-09,returned,2559 Pine Dr,Phoenix,ID,85588
SHP-000061,ORD-000066,UPS,,2022-03-28,2022-04-05,delivered,8163 Main Ave,Phoenix,ME,99085
SHP-000062,ORD-000067,DHL,9400684638286,2024-07-01,2024-07-12,delivered,537 Oak Dr,Fort Worth,MT,69317
SHP-000063,ORD-000069,DHL,1Z701663210,2024-03-20,2024-04-03,returned,8652 Cedar St,Indianapolis,NJ,28441
SHP-000064,ORD-000070,FedEx,792472759504,2024-04-12,,out_for_delivery,1155 Elm Ave,Chicago,CT,41364
SHP-000065,ORD-000071,Amazon Logistics,1Z847264230,2024-04-10,2024-04-23,returned,1368 Maple Dr,Chicago,AK,68792
SHP-000066,ORD-000072,FedEx,792423442883,2024-10-17,2024-10-18,delivered,4131 Cedar Ln,Chicago,KS,23252
SHP-000067,ORD-000073,DHL,1Z870754495,2023-01-05,2023-01-18,in_transit,5050 Oak Blvd,Jacksonville,KY,80312
SHP-000068,ORD-000074,UPS,1Z890121479,2023-02-23,2023-02-26,delivered,4332 Oak Ave,Philadelphia,KS,98913
SHP-000069,ORD-000075,UPS,,2025-01-14,2025-01-17,delivered,8791 Maple Dr,Fort Worth,MI,68737
SHP-000070,ORD-000076,FedEx,792728396600,2024-06-27,,in_transit,9799 Oak Ave,Seattle,AK,37783
SHP-000071,ORD-000077,USPS,792690145357,2023-10-05,2023-10-17,delivered,7611 Elm Dr,Dallas,AL,90773
SHP-000072,ORD-000078,USPS,LD300348714,2024-03-16,2024-03-29,returned,7615 Elm Dr,San Jose,NJ,41209
SHP-000073,ORD-000079,Amazon Logistics,LD903276542,2022-04-06,2022-04-13,delivered,283 Elm Ave,Dallas,MT,94314
SHP-000074,ORD-000080,FedEx,LD122151023,2024-01-06,2024-01-15,returned,124 Elm Ave,Charlotte,FL,91208
SHP-000075,ORD-000081,DHL,,2022-05-20,2022-05-29,in_transit,542 Cedar Ln,New York,FL,92391
SHP-000076,ORD-000082,FedEx,LD821619827,2024-05-16,2024-05-21,in_transit,3309 Oak Blvd,Philadelphia,AL,37391
SHP-000077,ORD-000084,DHL,9400134217256,2023-12-01,,in_transit,5502 Pine Dr,Philadelphia,MT,75793
SHP-000078,ORD-000085,DHL,LD856964253,2025-01-05,2025-01-18,returned,1257 Maple Ave,San Jose,AR,64035
SHP-000079,ORD-000086,DHL,792793593487,2025-04-02,2025-04-05,delivered,3284 Maple Ave,Seattle,MI,42787
SHP-000080,ORD-000087,Amazon Logistics,792820498957,2022-06-10,2022-06-14,out_for_delivery,6286 Cedar Ave,Chicago,NJ,71776
SHP-000081,ORD-000088,UPS,1Z934389704,2024-04-06,,delivered,9009 Oak St,Phoenix,CO,54713
SHP-000082,ORD-000089,Amazon Logistics,792537553481,2023-03-14,2023-03-22,out_for_delivery,6199 Main Dr,Fort Worth,NE,98958
SHP-000083,ORD-000090,FedEx,792451425589,2024-01-19,2024-02-01,out_for_delivery,4734 Main Dr,New York,NH,54489
SHP-000084,ORD-000091,DHL,1Z187255345,2022-05-14,2022-05-23,delivered,6391 Cedar Ave,Chicago,CA,47043
SHP-000085,ORD-000092,UPS,,2022-08-23,2022-09-03,delivered,7736 Oak Ln,Seattle,AL,27697
SHP-000086,ORD-000093,DHL,9400259587786,2022-03-19,2022-03-22,delivered,695 Main Ave,Houston,MD,20680
SHP-000087,ORD-000094,UPS,792405531591,2022-03-29,,delivered,6342 Pine Dr,Houston,IL,95997
SHP-000088,ORD-000095,UPS,792365659817,2024-04-16,2024-04-24,out_for_delivery,4292 Oak Dr,San Jose,AK,15037
SHP-000089,ORD-000097,DHL,1Z578349484,2023-10-09,2023-10-18,delivered,7787 Elm Ave,Austin,IL,42613
SHP-000090,ORD-000098,Amazon Logistics,9400173281086,2023-03-19,,delivered,1593 Oak St,Denver,MD,93625
SHP-000091,ORD-000099,UPS,1Z545681723,2022-08-24,2022-08-31,delivered,7997 Maple St,Houston,MI,41265
SHP-000092,ORD-000100,FedEx,LD939721306,2024-01-28,2024-02-01,delivered,7231 Elm Ln,San Antonio,ME,17645
SHP-000093,ORD-000101,UPS,LD462862945,2024-01-18,2024-01-20,delivered,3864 Elm Dr,San Antonio,MI,59846
SHP-000094,ORD-000102,FedEx,1Z674776172,2024-03-16,2024-03-17,returned,4354 Main Dr,San Francisco,GA,49996
SHP-000095,ORD-000103,USPS,,2022-11-27,2022-12-03,out_for_delivery,4096 Maple Ln,Jacksonville,LA,58146
SHP-000096,ORD-000104,Amazon Logistics,LD478605387,2024-04-26,,delivered,5580 Maple Ln,Austin,LA,89311
SHP-000097,ORD-000105,Amazon Logistics,LD843074572,2025-01-28,2025-02-08,out_for_delivery,5730 Pine Ave,Jacksonville,ME,77650
SHP-000098,ORD-000106,FedEx,792528433158,2023-02-16,2023-02-27,in_transit,3630 Pine Ave,San Jose,DE,80888
SHP-000099,ORD-000107,FedEx,1Z791688105,2024-04-21,2024-05-03,in_transit,6876 Pine Blvd,New York,NE,73321
SHP-000100,ORD-000108,FedEx,792697743333,2023-11-07,2023-11-11,returned,3538 Elm Ln,San Antonio,AL,39273
SHP-000101,ORD-000109,UPS,792843509331,2025-03-18,2025-03-20,returned,4916 Maple Ave,Chicago,MO,38496
SHP-000102,ORD-000110,FedEx,1Z236012835,2022-12-16,2022-12-29,returned,8990 Oak Ln,Chicago,NV,92098
SHP-000103,ORD-000111,Amazon Logistics,792354790246,2025-03-08,2025-03-17,out_for_delivery,4081 Oak St,San Antonio,CA,20481
SHP-000104,ORD-000112,USPS,1Z989629140,2023-01-28,,in_transit,6043 Oak Dr,Seattle,MD,62020
SHP-000105,ORD-000113,Amazon Logistics,LD642794549,2023-03-20,2023-03-29,returned,5645 Cedar Ln,Fort Worth,LA,55982
SHP-000106,ORD-000114,UPS,LD850213290,2023-06-26,2023-07-01,delivered,6993 Maple St,San Francisco,CO,22930
SHP-000107,ORD-000115,FedEx,9400707768069,2023-10-27,2023-11-07,returned,2758 Maple Ave,Houston,NV,11116
SHP-000108,ORD-000116,Amazon Logistics,LD852947989,2025-02-18,2025-03-04,delivered,6325 Maple St,Charlotte,MN,21600
SHP-000109,ORD-000117,UPS,LD324634553,2024-11-04,2024-11-07,delivered,7822 Maple Ln,Indianapolis,NJ,45886
SHP-000110,ORD-000118,Amazon Logistics,LD346571437,2023-06-19,2023-06-23,returned,8275 Pine St,Fort Worth,IA,52736
SHP-000111,ORD-000119,FedEx,1Z404880201,2024-06-09,2024-06-11,delivered,9040 Elm Blvd,Phoenix,AR,19163
SHP-000112,ORD-000120,FedEx,792386378376,2024-06-01,,in_transit,2721 Maple St,Indianapolis,FL,79973
SHP-000113,ORD-000121,Amazon Logistics,,2024-10-08,2024-10-10,delivered,8135 Pine St,San Jose,NE,95297
SHP-000114,ORD-000122,FedEx,,2023-01-14,2023-01-21,out_for_delivery,5782 Maple Dr,San Diego,AZ,90135
SHP-000115,ORD-000123,Amazon Logistics,LD840553058,2024-01-05,,delivered,4547 Maple Blvd,Los Angeles,KY,27777
SHP-000116,ORD-000124,Amazon Logistics,792926005503,2022-07-13,2022-07-21,in_transit,3439 Maple Blvd,San Antonio,CO,55171
SHP-000117,ORD-000125,FedEx,9400945866877,2022-01-13,2022-01-27,delivered,7299 Oak St,Denver,AL,19819
SHP-000118,ORD-000126,USPS,792980983308,2023-11-10,2023-11-22,returned,281 Main Ave,Columbus,MD,22002
SHP-000119,ORD-000127,FedEx,LD160648029,2024-08-03,2024-08-09,in_transit,6582 Maple St,Austin,AZ,83589
SHP-000120,ORD-000128,UPS,1Z392861541,2024-07-17,2024-07-27,delivered,7614 Elm Dr,Austin,MD,21532
SHP-000121,ORD-000129,DHL,1Z291253305,2022-05-27,2022-05-29,returned,8976 Pine St,Dallas,NE,86844
SHP-000122,ORD-000130,Amazon Logistics,792997404747,2024-04-01,2024-04-02,delivered,8176 Elm Ln,Denver,LA,91857
SHP-000123,ORD-000131,UPS,1Z811237585,2024-10-05,2024-10-13,delivered,5088 Elm Blvd,New York,LA,64696
SHP-000124,ORD-000132,USPS,LD943066410,2024-03-10,2024-03-20,returned,5823 Elm Blvd,Fort Worth,MO,73086
SHP-000125,ORD-000133,FedEx,792711250341,2024-05-26,2024-06-05,out_for_delivery,262 Cedar Blvd,Denver,GA,94489
SHP-000126,ORD-000134,FedEx,1Z486203096,2024-12-13,2024-12-18,delivered,5797 Main Ln,Indianapolis,NH,24663
SHP-000127,ORD-000136,Amazon Logistics,9400345347742,2024-11-21,2024-11-23,delivered,3269 Maple St,Los Angeles,KS,79828
SHP-000128,ORD-000137,FedEx,LD577358237,2025-04-15,2025-04-27,in_transit,868 Oak Ave,Fort Worth,MA,79530
SHP-000129,ORD-000138,USPS,LD606171050,2022-04-06,2022-04-11,delivered,4488 Cedar Ln,Los Angeles,MN,28597
SHP-000130,ORD-000139,UPS,1Z744851635,2023-01-23,2023-02-03,out_for_delivery,2667 Elm St,Indianapolis,KS,80731
SHP-000131,ORD-000140,UPS,LD789267029,2022-08-31,2022-09-06,in_transit,5160 Elm Ln,Washington,HI,45428
SHP-000132,ORD-000141,DHL,LD120076385,2024-03-24,2024-04-06,delivered,6741 Elm Dr,Phoenix,NV,49516
SHP-000133,ORD-000142,USPS,1Z851954605,2023-01-23,2023-01-26,delivered,563 Maple Ln,Los Angeles,CO,34783
SHP-000134,ORD-000143,FedEx,1Z958875113,2024-08-08,2024-08-16,out_for_delivery,1942 Pine Ln,San Jose,CA,66261
SHP-000135,ORD-000145,USPS,LD484104916,2022-01-18,2022-01-23,in_transit,5754 Cedar Ln,Washington,MS,62837
SHP-000136,ORD-000146,UPS,792952421810,2024-11-20,2024-12-02,delivered,7549 Cedar Ave,Fort Worth,DE,54129
SHP-000137,ORD-000147,USPS,1Z537502440,2023-10-12,2023-10-20,delivered,8422 Oak Ave,Seattle,CO,62743
SHP-000138,ORD-000148,FedEx,1Z966515792,2024-06-16,2024-06-29,delivered,9668 Maple Ln,San Jose,NE,44455
SHP-000139,ORD-000149,DHL,792810277099,2025-04-21,2025-04-22,out_for_delivery,140 Oak Ln,Fort Worth,ID,89552
SHP-000140,ORD-000150,DHL,,2024-01-09,,delivered,5000 Oak St,New York,MT,30861
SHP-000141,ORD-000151,UPS,LD774624299,2022-11-22,2022-12-04,out_for_delivery,6856 Maple Ave,San Diego,KY,24099
SHP-000142,ORD-000152,DHL,792331958851,2022-02-09,,returned,8629 Cedar Ave,Dallas,AR,46029
SHP-000143,ORD-000153,DHL,LD734369960,2023-11-24,,delivered,6035 Maple Blvd,Columbus,GA,34922
SHP-000144,ORD-000155,UPS,1Z534707744,2022-08-20,2022-09-01,delivered,8192 Maple Blvd,Philadelphia,KS,60075
SHP-000145,ORD-000156,FedEx,792949050675,2022-09-04,2022-09-10,delivered,2622 Maple Blvd,San Jose,MT,61805
SHP-000146,ORD-000157,USPS,LD687458834,2022-07-26,2022-08-04,in_transit,1903 Oak Blvd,Philadelphia,MT,98401
SHP-000147,ORD-000159,FedEx,792758497994,2024-05-03,,returned,4845 Oak Ave,Denver,KS,44094
SHP-000148,ORD-000160,USPS,LD572990248,2024-05-01,2024-05-13,returned,684 Pine Ln,Chicago,MI,75651
SHP-000149,ORD-000161,UPS,792964884672,2024-11-28,2024-12-11,delivered,8153 Cedar Ave,Denver,IN,80071
SHP-000150,ORD-000162,UPS,792378038721,2022-03-21,2022-03-29,in_transit,6396 Pine Ave,Charlotte,IA,29018
SHP-000151,ORD-000163,FedEx,1Z779953669,2025-02-12,2025-02-19,delivered,2507 Oak Ave,San Jose,MD,28535
SHP-000152,ORD-000164,Amazon Logistics,9400254988841,2024-07-06,2024-07-19,delivered,1883 Cedar Ln,San Diego,CA,48160
SHP-000153,ORD-000165,DHL,9400666523134,2025-01-08,2025-01-11,out_for_delivery,9216 Pine Dr,San Jose,KS,49112
SHP-000154,ORD-000166,DHL,792713137637,2023-10-07,2023-10-12,delivered,896 Pine Ln,San Francisco,NE,54145
SHP-000155,ORD-000167,Amazon Logistics,LD970282075,2024-11-05,,delivered,8647 Main St,Houston,KY,48305
SHP-000156,ORD-000168,UPS,LD450106860,2022-09-16,2022-09-26,returned,676 Cedar St,Jacksonville,DE,42955
SHP-000157,ORD-000169,USPS,LD575350621,2023-08-07,2023-08-11,delivered,7752 Oak Ln,San Antonio,AZ,78589
SHP-000158,ORD-000170,FedEx,792881789464,2023-02-01,2023-02-08,delivered,8756 Pine St,Indianapolis,MI,10872
SHP-000159,ORD-000171,DHL,9400825544646,2022-05-10,2022-05-14,returned,9503 Maple Blvd,Charlotte,MN,29788
SHP-000160,ORD-000172,DHL,1Z221384761,2024-04-09,2024-04-22,out_for_delivery,5712 Main Blvd,San Diego,ID,45251
SHP-000161,ORD-000173,FedEx,LD289282740,2024-10-02,2024-10-05,returned,2836 Cedar St,Denver,CT,69536
SHP-000162,ORD-000174,FedEx,,2024-11-20,,returned,8785 Maple Dr,Philadelphia,ID,45039
SHP-000163,ORD-000176,USPS,792355487831,2022-11-12,2022-11-22,returned,8568 Maple Ln,Phoenix,MT,61592
SHP-000164,ORD-000177,DHL,9400228521094,2022-10-22,2022-11-02,out_for_delivery,2605 Maple St,Chicago,HI,17040
SHP-000165,ORD-000178,UPS,792124009134,2024-10-01,2024-10-03,out_for_delivery,4749 Maple Ln,Seattle,NH,30726
SHP-000166,ORD-000179,Amazon Logistics,1Z984664960,2025-03-05,2025-03-10,delivered,3005 Oak Dr,Columbus,MO,85283
SHP-000167,ORD-000180,Amazon Logistics,LD375885394,2024-07-09,,returned,2334 Cedar Ave,Columbus,HI,51026
SHP-000168,ORD-000181,Amazon Logistics,792655020689,2022-04-05,2022-04-19,delivered,7945 Main Ln,San Jose,IL,92422
SHP-000169,ORD-000182,DHL,9400578365622,2022-09-15,2022-09-16,out_for_delivery,8060 Elm Blvd,Los Angeles,NV,19835
SHP-000170,ORD-000183,USPS,1Z526791890,2024-10-28,,in_transit,5709 Elm Ln,Denver,MI,78758
SHP-000171,ORD-000184,FedEx,LD715269660,2025-04-06,2025-04-18,delivered,2650 Maple Ave,Chicago,LA,20251
SHP-000172,ORD-000185,USPS,792742193969,2023-01-07,2023-01-12,out_for_delivery,8755 Main Ave,San Antonio,MA,63834
SHP-000173,ORD-000188,FedEx,LD904190222,2022-10-21,2022-11-03,delivered,382 Pine Blvd,New York,NV,98254
SHP-000174,ORD-000189,UPS,1Z702911738,2025-04-20,2025-04-28,delivered,9779 Maple Ln,San Antonio,NJ,48465
SHP-000175,ORD-000190,DHL,9400744169699,2025-02-09,2025-02-21,out_for_delivery,2573 Oak Ave,Austin,CT,60472
SHP-000176,ORD-000191,Amazon Logistics,1Z978337941,2025-04-18,,delivered,2765 Oak Blvd,Columbus,MO,48749
SHP-000177,ORD-000192,UPS,792332506928,2024-10-26,2024-11-07,delivered,7121 Elm St,Fort Worth,MA,19691
SHP-000178,ORD-000195,FedEx,1Z100244061,2024-12-31,2025-01-10,delivered,7756 Maple Dr,Austin,KS,53666
SHP-000179,ORD-000196,FedEx,LD499463984,2023-03-10,,delivered,8699 Oak Ave,Philadelphia,MI,80863
SHP-000180,ORD-000197,DHL,LD633987317,2023-10-22,2023-10-23,delivered,3195 Cedar St,Phoenix,CO,32624
SHP-000181,ORD-000198,UPS,1Z980951948,2022-01-23,,delivered,7821 Main Dr,Denver,AZ,70178
SHP-000182,ORD-000199,Amazon Logistics,9400863100550,2022-06-09,2022-06-17,in_transit,454 Oak Ln,Seattle,ME,73726
SHP-000183,ORD-000200,Amazon Logistics,LD604861895,2022-01-22,2022-01-30,delivered,5538 Pine Dr,Austin,MN,40524
SHP-000184,ORD-000201,UPS,792103220183,2024-01-08,2024-01-14,delivered,5693 Oak Ave,San Jose,CT,83397
SHP-000185,ORD-000202,DHL,LD303773733,2024-10-09,2024-10-15,delivered,4079 Cedar Blvd,Dallas,NH,75713
SHP-000186,ORD-000203,FedEx,9400320467980,2025-03-13,2025-03-16,in_transit,9491 Main Ln,Philadelphia,AR,19226
SHP-000187,ORD-000204,UPS,792227423761,2022-09-20,2022-09-28,in_transit,2524 Pine Dr,Los Angeles,CO,82424
SHP-000188,ORD-000206,FedEx,1Z523344733,2024-04-14,2024-04-25,delivered,8435 Main Dr,Charlotte,LA,18260
SHP-000189,ORD-000207,UPS,1Z375893468,2023-04-09,2023-04-10,delivered,8321 Maple Ln,Chicago,IN,80974
SHP-000190,ORD-000208,Amazon Logistics,1Z895351476,2022-06-21,2022-06-29,returned,5913 Pine Ave,Washington,CA,78904
SHP-000191,ORD-000209,UPS,LD169180178,2023-10-04,2023-10-17,delivered,6544 Main Ave,Washington,MA,48027
SHP-000192,ORD-000210,FedEx,1Z659405019,2023-05-27,,delivered,2289 Main Ln,Washington,LA,13856
SHP-000193,ORD-000212,FedEx,792901717200,2022-05-18,2022-05-20,in_transit,457 Pine St,Philadelphia,FL,13965
SHP-000194,ORD-000213,Amazon Logistics,1Z759019087,2022-04-28,2022-05-05,delivered,2717 Oak St,Fort Worth,NJ,55641
SHP-000195,ORD-000214,DHL,LD114439319,2022-01-25,2022-02-08,out_for_delivery,7883 Cedar Blvd,Phoenix,MO,94895
SHP-000196,ORD-000215,UPS,,2025-04-21,2025-04-27,returned,7573 Cedar Blvd,Houston,CA,51294
SHP-000197,ORD-000216,USPS,1Z148724730,2023-06-14,2023-06-15,in_transit,2727 Cedar Blvd,Chicago,KS,40170
SHP-000198,ORD-000217,Amazon Logistics,792329169204,2023-10-05,2023-10-08,returned,2426 Elm Ave,San Francisco,AK,16741
SHP-000199,ORD-000218,USPS,LD207759636,2023-12-07,2023-12-14,returned,8980 Pine St,Charlotte,NH,64425
SHP-000200,ORD-000219,FedEx,1Z981173011,2023-02-09,2023-02-10,delivered,4883 Maple Dr,Indianapolis,MT,62785
SHP-000201,ORD-000220,USPS,LD722182254,2023-11-13,2023-11-22,out_for_delivery,9576 Cedar Blvd,Dallas,ID,92439
SHP-000202,ORD-000221,DHL,9400876016408,2022-03-31,2022-04-09,delivered,5189 Main St,Phoenix,MT,46682
SHP-000203,ORD-000222,Amazon Logistics,792718886494,2023-11-14,2023-11-23,in_transit,7310 Oak Ave,Indianapolis,KY,19227
SHP-000204,ORD-000223,USPS,1Z198421324,2024-01-04,2024-01-09,out_for_delivery,4581 Main Dr,San Antonio,HI,14193
SHP-000205,ORD-000224,Amazon Logistics,LD887117314,2022-03-07,2022-03-15,out_for_delivery,7215 Cedar Ln,Jacksonville,DE,92402
SHP-000206,ORD-000225,FedEx,1Z797956578,2023-05-22,2023-05-28,out_for_delivery,3933 Oak Ln,San Antonio,AL,87179
SHP-000207,ORD-000226,DHL,LD680083973,2022-08-18,2022-08-25,delivered,7196 Cedar Ave,Washington,MT,50107
SHP-000208,ORD-000227,DHL,9400421368739,2024-12-16,2024-12-20,out_for_delivery,1782 Pine Ave,Charlotte,DE,98640
SHP-000209,ORD-000228,UPS,9400794148746,2023-01-29,,out_for_delivery,6744 Pine St,Dallas,ID,27189
SHP-000210,ORD-000229,UPS,1Z756856406,2023-08-30,2023-09-03,delivered,1386 Maple Ave,San Diego,IN,36146
SHP-000211,ORD-000230,UPS,792944874285,2022-06-19,2022-06-28,delivered,7000 Oak Blvd,San Diego,MI,42216
SHP-000212,ORD-000231,FedEx,9400360399037,2024-08-12,2024-08-24,returned,2683 Cedar Dr,Jacksonville,MI,21982
SHP-000213,ORD-000232,UPS,9400744971206,2025-04-13,2025-04-20,delivered,1895 Pine Ln,Jacksonville,KY,58393
SHP-000214,ORD-000233,DHL,1Z973138878,2024-05-23,2024-06-03,delivered,3479 Maple Blvd,San Francisco,CA,63731
SHP-000215,ORD-000234,UPS,1Z968352623,2022-06-25,,in_transit,3612 Maple Blvd,Indianapolis,CT,96544
SHP-000216,ORD-000235,FedEx,1Z598836141,2024-08-19,2024-08-29,delivered,5351 Oak Dr,Los Angeles,MI,85181
SHP-000217,ORD-000236,UPS,1Z587925691,2023-04-29,2023-05-02,delivered,6108 Cedar Blvd,Columbus,MA,71895
